"source_label","disaster_key","disaster_label","country_code","country","start_year","end_year","cumulative_growth","duration_years","is_venezuela","horizon_years_after_end","endpoint_year","horizon_index_start_100","horizon_years","horizon_label","fall_magnitude","horizon_ratio_to_start","total_years_from_start","horizon_cagr","post_disaster_ratio_to_end","post_disaster_cagr","highlight","reference_label","is_source_reference"
"FMI WEO (PIB per cápita)","imf_weo_RWA_3","Rwanda (1986-1991)","RWA","Rwanda",1986,1991,-0.224821622134858,5,FALSE,5,1996,73.5386608098869,5,"5 años después",0.224821622134858,0.735386608098869,10,-0.030268346916864,0.948667595868888,-0.0104840174315071,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_LBY_1","Libya (1981-1984)","LBY","Libya",1981,1984,-0.220731204435766,3,FALSE,5,1989,53.782636629081,5,"5 años después",0.220731204435766,0.53782636629081,8,-0.0745983678329144,0.690167974583652,-0.0714806458927444,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_ARG_9","Argentina (1998-2002)","ARG","Argentina",1998,2002,-0.216623240864843,4,FALSE,5,2007,113.634124203698,5,"5 años después",0.216623240864843,1.13634124203698,9,0.0143028388842814,1.45056797867158,0.0772279600338932,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_QAT_3","Qatar (1984-1987)","QAT","Qatar",1984,1987,-0.212835635384616,3,FALSE,5,1992,62.0081711700833,5,"5 años después",0.212835635384616,0.620081711700833,8,-0.0579886937319779,0.787741086328026,-0.0465965930586886,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_CPV_8","Cabo Verde (2019-2020)","CPV","Cabo Verde",2019,2020,-0.211155378486056,1,FALSE,5,2025,113.144365588012,5,"5 años después",0.211155378486056,1.13144365588012,6,0.020795676453135,1.43430483649449,0.0748015710450518,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_MMR_2","Myanmar (2019-2021)","MMR","Myanmar",2019,2021,-0.210389930132804,2,FALSE,5,2026,80.1826409675796,5,"5 años después",0.210389930132804,0.801826409675796,7,-0.0310593109090264,1.01547135766728,0.00307529835499043,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_BLR_1","Belarus (1993-1995)","BLR","Belarus",1993,1995,-0.210153593396875,2,FALSE,5,2000,109.272461726517,5,"5 años después",0.210153593396875,1.09272461726517,7,0.0127483223777898,1.38346469405948,0.0670717344800613,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_GAB_4","Gabon (1985-1987)","GAB","Gabon",1985,1987,-0.206949304247991,2,FALSE,5,1992,90.0475594085748,5,"5 años después",0.206949304247991,0.900475594085748,7,-0.0148644480163839,1.13545779470236,0.0257326960022763,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_CIV_7","Côte d'Ivoire (1998-2008)","CIV","Côte d'Ivoire",1998,2008,-0.206481961777714,10,FALSE,5,2013,83.7078974100018,5,"5 años después",0.206481961777714,0.837078974100018,15,-0.0117857876464378,1.05489596175447,0.0107457548429144,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_BOL_1","Bolivia (Plurinational State of) (1981-1986)","BOL","Bolivia (Plurinational State of)",1981,1986,-0.205077823437806,5,FALSE,5,1991,86.2777793108536,5,"5 años después",0.205077823437806,0.862777793108536,10,-0.0146514182340297,1.08536133290406,0.016517521935256,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_NAM_6","Namibia (2015-2020)","NAM","Namibia",2015,2020,-0.204992620216429,5,FALSE,5,2025,84.8442818643909,5,"5 años después",0.204992620216429,0.848442818643909,10,-0.016300936782338,1.06721376457522,0.0130952604352694,"Otros países","",FALSE
