"source_label","disaster_key","disaster_label","country_code","country","start_year","end_year","cumulative_growth","duration_years","recovery_year","years_to_recover","is_venezuela"
"Maddison, PIB pc","maddison_UGA_27","Uganda (1971-1980)","UGA","Uganda",1971,1980,-0.341516245487365,9,2005,34,FALSE
"Maddison, PIB pc","maddison_RUS_51","Russian Federation (1989-1996)","RUS","Russian Federation",1989,1996,-0.335784053298137,7,2003,14,FALSE
"Maddison, PIB pc","maddison_AFG_22","Afghanistan (2019-2022)","AFG","Afghanistan",2019,2022,-0.33161251232404,3,NA,NA,FALSE
"Maddison, PIB pc","maddison_DZA_6","Algeria (1960-1962)","DZA","Algeria",1960,1962,-0.313701923076923,2,1969,9,FALSE
"Maddison, PIB pc","maddison_MKD_10","TFYR of Macedonia (1989-1995)","MKD","TFYR of Macedonia",1989,1995,-0.310295924082278,6,2008,19,FALSE
"Maddison, PIB pc","maddison_GNQ_4","Equatorial Guinea (1977-1982)","GNQ","Equatorial Guinea",1977,1982,-0.309432933478735,5,1996,19,FALSE
"Maddison, PIB pc","maddison_COD_14","D.R. of the Congo (1974-1983)","COD","D.R. of the Congo",1974,1983,-0.307164634146341,9,NA,NA,FALSE
"Maddison, PIB pc","maddison_TKM_5","Turkmenistan (1988-1992)","TKM","Turkmenistan",1988,1992,-0.304989599240861,4,2003,15,FALSE
"Maddison, PIB pc","maddison_BDI_18","Burundi (1991-1997)","BDI","Burundi",1991,1997,-0.303988800695426,6,NA,NA,FALSE
"Maddison, PIB pc","maddison_CYP_9","Cyprus (1973-1975)","CYP","Cyprus",1973,1975,-0.301402754960192,2,1978,5,FALSE
"Maddison, PIB pc","maddison_TGO_8","Togo (1979-1983)","TGO","Togo",1979,1983,-0.28680800942285,4,NA,NA,FALSE
"Maddison, PIB pc","maddison_ALB_2","Albania (1990-1992)","ALB","Albania",1990,1992,-0.286526446230343,2,1999,9,FALSE
"Maddison, PIB pc","maddison_ETH_16","Ethiopia (1987-1993)","ETH","Ethiopia",1987,1993,-0.286502792412777,6,2008,21,FALSE
